run_id,model,prompt,n,start_iso,end_iso,wall_s,ttft_s,turns,tool_calls,input_tokens,cache_read_tokens,cache_creation_tokens,output_tokens,peak_request_tokens,cost_native,currency,cost_usd,exit_code,timed_out,week
evolving/detailed/1,evolving,detailed,1,2026-09-10T20:20:32,2026-09-10T21:00:32,2400.1,5.16,39,52,106813,1753680,0,39486,74260,3.9299,CNY,0.5496,-9,True,
glm/vague/1,glm,vague,1,2026-09-10T22:28:28,2026-09-10T22:43:58,930.1,5.01,21,27,82557,584091,0,22569,41582,2.4606,CNY,0.3441,1,False,
glm/vague/1,glm,vague,1,2026-09-10T22:43:59,2026-09-10T22:44:07,8.8,8.74,1,0,0,0,0,0,0,0.0,CNY,0.0,1,False,
glm/detailed/1,glm,detailed,1,2026-09-10T22:44:08,2026-09-10T22:44:12,3.5,3.48,1,0,0,0,0,0,0,0.0,CNY,0.0,1,False,
glm/detailed/1,glm,detailed,1,2026-09-10T22:44:12,2026-09-10T22:44:18,5.2,5.19,1,0,0,0,0,0,0,0.0,CNY,0.0,1,False,
deepseek/vague/1,deepseek,vague,1,2026-09-10T22:28:02,2026-09-10T23:06:30,2308.1,6.32,29,31,95621,1500160,0,53944,88757,2.7671,CNY,0.387,0,False,
glm/vague/1,glm,vague,1,2026-09-10T22:49:33,2026-09-10T23:24:12,2079.5,9.71,27,29,86037,1086720,0,39697,64781,3.9733,CNY,0.5557,0,False,
deepseek/detailed/1,deepseek,detailed,1,2026-09-10T23:06:31,2026-09-11T00:24:08,4656.5,10.14,54,70,174761,4177920,0,83177,127701,5.072,CNY,0.7094,0,False,
glm/detailed/1,glm,detailed,1,2026-09-10T23:24:13,2026-09-11T00:30:35,3981.7,6.69,57,76,176503,2487296,0,43585,73410,7.607,CNY,1.0639,0,False,
evolving/vague/1,evolving,vague,1,2026-09-10T22:15:07,2026-09-11T01:25:29,11422.2,6.2,35,43,122563,1978736,0,60210,95766,4.9162,CNY,0.6876,1,False,
evolving/detailed/1,evolving,detailed,1,2026-09-10T22:17:57,2026-09-11T01:38:13,12015.5,9.86,60,86,158317,4022560,0,62071,122820,7.6391,CNY,1.0684,1,False,
evolving/vague/1,evolving,vague,1,2026-09-11T01:25:30,2026-09-11T02:05:47,2416.8,4.93,57,79,163343,3878776,0,63176,113337,7.5299,CNY,1.0531,0,False,
evolving/detailed/1,evolving,detailed,1,2026-09-11T01:38:15,2026-09-11T02:10:27,1932.1,5.31,60,80,151807,3584288,0,60371,108047,7.0231,CNY,0.9823,1,False,
deepseek/detailed/1,deepseek,detailed,1,2026-09-11T02:05:48,2026-09-11T02:22:13,985.0,3.57,50,66,115194,3352064,0,75662,115912,4.0852,CNY,0.5714,0,False,
glm/detailed/1,glm,detailed,1,2026-09-11T02:10:30,2026-09-11T02:27:59,1048.3,4.58,54,68,138303,2607872,0,44669,77551,7.5729,CNY,1.0591,0,False,
opus/vague/1,opus,vague,1,2026-09-10T22:32:56,2026-09-10T22:54:26,1290.0,1.92,53,63,106,5598231,178805,69509,178807,6.3254,USD,6.3254,0,False,
opus/detailed/1,opus,detailed,1,2026-09-10T22:56:38,2026-09-10T23:13:44,1026.3,1.68,46,58,92,4771165,190926,70645,187371,6.0614,USD,6.0614,0,False,
